L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
1980321,3742,335838,271,495158,1479,2065,29874,1263,5,151726258,324897913,50147218
21271230,681,98688,47668,59253,125273,27643,8651,131400,14966,188066732,259993249,50413441
23475876,349,2912272,60886,81811,53876,30084,313310,312818,875357,188775224,257643414,50309394
31456758,47,6544392,204873,2467,139729,8207,1501,348095,47,184770531,260089412,50354167
26880944,263,4510400,120018,32948,141797,26132,17716,143771,930915,189000413,286071767,50364966
28583670,179,4496680,155871,4452,232827,10934,488,343528,72,189582710,252638780,50406510
25181285,238,6343887,170200,15856,160333,21030,17935,88697,252181,189245412,303929796,50392274
23023438,500,2880055,120601,5082,330723,14025,3,340633,78,181952969,227993349,50303475
20376044,668,141826,204129,31380,141961,18647,1956,69372,93039,189181707,296060808,50314724
24698309,27,8381897,425457,2908,281563,18359,8514,88023,255011,187940773,281017501,50317354
24097223,405,91444,48630,8126,322511,11757,6,305537,440,187076398,227157278,50366968
23039204,23,9116279,236460,7078,163829,16578,17464,94589,230038,179175673,262658017,50317993
26816403,188,15194,39491,31486,240288,14599,607,305110,314,188616578,224072346,50322325
24493086,75,9545046,259961,2119,133310,18657,15777,192465,949853,189578378,271220048,50356520
30507727,151,11671,28622,26065,210283,16096,3044,318129,446,188943864,226673550,50341690
20650865,67,288949,146598,45629,177354,21248,25600,391060,529099,190361435,275141773,50373595
25783335,37,10168892,239111,1727,182129,13094,14453,303075,986107,183777976,267547028,50386273
31423304,392,21672,50445,17989,139376,20335,15386,191100,79571,185453370,277389418,50357370
27625738,20,10225052,204161,3814,312185,15748,356,258777,131369,183763523,283618104,50329744
23165119,565,25218,587191,12176,137741,19342,3232,132185,138813,174872338,243265619,50588042
28955952,95,9012815,182655,3693,335554,14653,12,316654,62592,182716217,273726691,50395974
21655737,490,90015,112438,10526,135579,4051,1954,69985,67628,185770958,263629289,50374999
18545283,871,3990414,1241737,3047,80825,4325,3664,74617,250734,183802571,236626707,50332256
22209727,682,2942961,92150,2564,347471,13360,9,314724,36127,182367642,216118533,50354736
27266135,431,5485286,612505,8903,84195,4163,3657,73735,251409,185611205,283810896,50355514
22363599,645,1550278,59835,2457,330150,13069,3,310447,27151,182175402,205965374,50342454
25785395,171,6639057,642507,8882,107439,4396,3655,73269,247217,184488108,278998916,50365971
25900903,632,317842,37459,4870,338603,13426,6,325668,32360,187766888,223805333,50367345
15994773,856,2134282,1222772,6496,75012,3708,1986,72111,172552,188427263,251121152,50285537
26242433,146,4593251,126632,1922,122067,3859,3595,91561,260772,189668450,276499990,50367863
21262325,729,2923849,562309,2094,251961,12605,279,240052,59539,188834901,218736014,50334090
23867619,161,5242558,113045,2120,173832,5293,3377,86744,241464,184598527,265710710,50363538
