L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
57698,1530,34811,145,2033,5,3449,20801,13385,13385,13385,13385,50154673
4099,10,63,0,0,97,21410,98008,33,0,61991388,35398526,50920970
8328,2,75,0,0,123,37764,227033,139,0,190173995,95432064,50361355
8264,10,60,2,0,140,37459,226235,114,0,189895122,95023044,50420092
8390,2,52,0,0,138,37384,225171,134,0,189147043,94810761,50320314
8328,6,58,0,0,141,37221,225238,117,0,188931588,94710753,50353796
9011865,108,2803,13705136,0,1695,50,201773,8677,6911677,186995174,46474781,50324732
812163,435,330604,67,1938387,81733,54579,128,79488,137,189094633,323804342,50339647
849223,273,212189,155,1818502,83989,53099,122,83859,96,186632978,303499483,50326828
797721,288,190432,192,1849380,91067,59374,151,92272,260,182003666,281351537,50330525
810056,363,283733,97,1765350,105970,58451,94,98967,113,178261123,267365073,50341268
773399,466,323758,437,1477075,80767,50351,130,107062,289,178740975,270579407,50335102
837818,321,245742,110,1844682,103424,62809,84,104865,135,189328618,299954496,50336389
862694,210,171757,76,2098231,106169,68817,110,94526,106,189328077,307709486,50327838
777859,242,163144,95,2022472,98656,65272,154,85120,414,188513803,316145030,50295453
762357,204,188122,112,1907083,96900,64003,151,84607,267,187607828,297501921,50329105
763964,330,224036,143,1798165,97019,63900,163,93682,160,183813878,290948969,50290620
763077,285,284083,107,1767056,87714,58996,125,102307,217,182724687,284701660,50330590
754782,383,281237,214,1828043,86645,61059,229,97392,289,181189605,281701048,50295530
770480,236,344597,191,1753946,95118,62246,276,96265,974,182682389,286729346,50319760
762849,295,296846,187,1822157,88763,53482,88,87388,179,183002807,289338672,50334571
782554,305,203929,23,1936363,99093,60477,120,92706,141,182936577,286070953,50293445
753506,301,220978,92,1757900,94951,58093,99,99903,213,181805516,284348308,50292518
661317,287,175476,117,1694059,91742,56640,151,106621,169,179501927,270930732,50328855
591854,383,190085,716,1785300,91146,55707,151,81135,123,178706803,309136753,50301006
772579,176,238808,96,1853590,85104,55981,137,87392,186,177335097,292967931,50322991
764013,159,207621,142,1920839,79903,53118,74,87242,93,177049531,296938149,50311033
749059,302,394931,304,1864917,94430,52463,85,95007,120,174069445,282133410,50325816
732371,183,195830,316,1885410,88036,54583,125,93474,181,176196570,292364276,50288103
716779,261,149676,209,1877520,88388,54822,119,86588,85,175925507,290936944,50335970
805777,223,168743,149,1961431,94633,60442,132,97101,80,185717053,299879994,50294071
810418,147,139328,53,2001277,105706,66417,125,90255,103,186932131,305614799,50326762
783935,231,184801,170,1996291,101960,60525,110,98858,135,186499871,299995849,50302594
734250,244,152937,59,1833686,79493,61053,182,84383,254,176427620,293948834,50294521
727443,311,189544,238,1753778,70063,56850,204,75229,62,178794069,294157482,50331463
595354,399,154298,3376,1550632,95831,47236,131,109140,4453,169177509,254849095,50277765
589714,355,163999,5031,1260433,108721,46911,110,109252,4314,163713216,248570417,50352278
647883,194,178251,4936,1503705,102327,47698,129,114002,4846,162597483,236306508,50381275
632006,209,208569,4254,1534898,108454,42413,72,101199,4528,161688991,250383511,50390809
645649,227,188733,3868,1629084,110314,44909,88,109212,4496,169283138,262287883,50462428
636494,288,183404,2785,1658170,105960,46459,63,107637,2833,167989860,254991204,50553392
651608,266,205567,941,1655583,106540,47560,82,105250,2137,171724349,270578666,50373121
671317,220,187215,949,1743125,99596,47437,90,99669,1191,170364933,274678324,50324355
701124,228,193569,885,1829568,106840,48832,145,99317,1224,177544620,286470731,50337765
726179,285,155522,577,1902402,105310,57597,123,105805,901,178243504,283348560,50335711
767817,257,166471,96,1923883,84398,60332,167,92523,90,186842346,305737296,50320904
802417,75,159544,190,2064076,83575,57515,126,78688,118,189068909,312842830,50301747
794327,126,154827,270,1808351,96027,57201,127,94939,137,187781762,311683264,50323424
798952,225,149372,90,1980845,97414,63020,100,96943,258,188469564,304495112,50301118
804170,149,128796,73,2064056,87082,63914,169,86629,148,188555185,309850992,50335985
791194,225,116972,520,1792066,107544,61886,153,103406,54,188358805,307094041,50339449
833862,198,129017,59,2063502,96664,61470,151,99084,101,188990030,302047985,50407782
809443,185,146667,43,1905685,83859,63000,160,92863,207,189241397,314600224,50293181
783556,193,163639,560,2084634,77885,56382,122,70040,110,185843948,305234538,50324314
777138,267,149343,216,1920598,98611,59484,182,92946,81,189236441,312456299,50308894
801637,244,157737,143,1943074,83952,60302,198,86105,235,189922362,309864274,50326808
