L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
28657,791,32588,106,26519,14776,14776,14776,14776,14776,14776,14776,50325895
13449,126,19043,1922,75955,880,131,272,553,466,62550816,210717209,50919619
62798,158,48291,74,203947,34,0,1623,81,0,185204000,544620343,50337452
85603,123,68159,26,312643,396,81,5278,475,0,185495677,460683444,50362868
59433,331,35074,104752,371300,1904,94,5141,724,21,183764182,386615139,50292946
5522317,1753,22973,13,645909,6354,4075,21111,6743,0,187239478,443008408,50326030
5994902,140,19606,5190,617952,5179,3400,19572,7299,100,188951999,451617625,50294737
7558597,102,11319,14,650493,5029,1869,12641,5168,122,187417393,463917193,50334561
7635757,125,13150,20,638758,4959,2146,11683,5573,6,188456266,469698095,50300009
7686771,54,11619,0,676208,5276,2116,11658,5004,53,189050256,463046130,50335870
7646285,29,11631,3809,803081,12801,1939,9326,5204,13,187916910,460431503,50301531
4009038,94,19834,1142,1010123,8351,1434,8954,11672,7996,179447807,430474719,50328567
4700027,48,16850,96,1005556,7675,1631,7278,8286,148,188587482,464312514,50310307
4840150,50,20426,161,1007931,10276,1669,7815,8006,128,189555095,471362174,50336600
4734678,154,19045,142,1058005,7397,1728,7695,11911,258,186648401,450480240,50302500
4708718,70,16410,178,985260,7741,1650,8953,7115,180,188651604,467344236,50389386
4576580,97,17623,514,912194,6251,1898,8130,8574,162,189136620,472809737,50300661
4567546,28,18782,202,1017438,8958,1796,7832,6623,160,189596362,479057569,50345969
4787378,101,16415,131,1008449,6315,1732,8070,11990,352,189069732,458374934,50301448
4463463,61,16472,233,1014235,9015,1717,7008,6713,113,189649405,468914880,50331182
4552508,63,15733,172,944599,6395,1512,7172,6851,172,184318623,455228812,50311707
4664021,78,14984,173,1010852,5983,1610,7772,9764,122,189643805,469778466,50329068
4912349,68,15642,170,1021954,9672,1659,7648,6969,88,188944294,461988874,50297047
4764428,71,22568,500,956993,15632,1991,7553,13396,550,185752354,454166725,50336835
4707865,41,16065,139,1025158,8562,1637,8425,6491,103,188618264,465479049,50299346
4714067,60,16688,137,980770,6135,1408,8536,7935,50,189296968,462935628,50331081
5776898,389,20378,146843,463412,8863,1848,8930,7339,25,186827483,437132785,50312960
