L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-store-misses,L2-load-misses,cycles,instructions,ns
18235793,76756,22920596,8044,3413717,35534,71814,137865,3295,17961,888086000,1616762810,350155092
22580839,59944,7617744,262640,1499194,2297561,689896,202979,293468,2190831,924370233,1513150443,350616988
24977334,9543,1429727,870071,3840385,4422082,2511132,393618,871345,4420283,840574221,885521704,350561303
22391390,16581,2136486,760834,3436084,4306005,2381991,360395,747390,4211292,817555429,788025733,350797148
23275279,11618,1491001,768396,3238428,4560527,2744497,364807,756472,4488782,780211111,678230309,350813725
24028018,4876,884957,854773,2880579,4673875,3029065,407816,855302,4734604,736140806,594117457,350804368
23943999,6746,806512,876764,2824390,4771040,3033150,419767,855611,4751560,733731999,584564523,350852858
24352190,2528,796425,854561,2948791,4886727,3112903,424642,857829,4864807,746635944,598630255,350606927
23811270,5865,974543,838260,3094190,4903324,3107174,401210,820036,4792801,761742731,587038870,350814754
24380219,3757,887788,807320,3193191,4918643,3130715,402362,801340,4923578,767435404,622840209,350849049
24044284,5515,1013639,779699,3177610,4900265,3094342,385387,776804,4864152,767202872,624052801,350854139
24019111,6504,1116134,766377,3218144,4881692,3079441,382500,779352,4914143,778470451,625006933,350588035
24446031,6110,975178,759819,3295310,4873985,3125320,387858,763698,4886185,790944098,637640978,350630714
24351663,3840,1018974,757416,3355904,4865700,3122656,383293,747814,4848047,797457400,641408523,350614246
24871611,3804,967422,754619,3306350,4962254,3148442,392018,771891,4931670,800672934,638447738,350586663
24286570,3744,998101,737450,3298553,4880277,3153098,385058,738720,4856043,795777514,632592025,350620221
24425072,4262,1016545,729284,3369184,4870583,3171195,386749,723743,4832687,799263115,633532065,350593551
24190953,6227,938233,767955,3192686,4939478,3130747,395995,767476,4921838,785440743,613140436,350817364
23982677,3149,810180,868627,3061048,4957878,3151975,428340,866849,4960508,767350023,596392839,350840831
23707832,3982,861083,859155,3118853,4904877,3113084,429518,859867,4866680,767963690,601100070,351101521
23606092,5161,902500,795744,3191225,4879170,3108285,407817,789167,4836590,775699658,608178975,350617519
24360165,1994,871458,756542,3278948,4885125,3200765,403728,766335,4882738,792468108,623052423,350585084
23694201,4626,911452,800739,3135183,4867750,3153092,414589,796555,4838859,773395996,606670762,350701324
23435386,6083,906411,815203,3138550,4830972,3092891,419597,812889,4889084,769011616,598614775,350835526
24247624,3176,869901,717658,3304676,4843469,3181392,395822,727774,4837860,794835179,628192993,350618409
23552630,7046,1274151,717609,3242813,4858505,3162868,378044,720498,4769171,793273249,594711815,350581169
24184967,2544,914715,725536,3294066,4892071,3228589,398925,741479,4856885,796232102,626021055,350573800
24068585,4156,919456,738164,3240988,4885110,3180050,398545,735611,4832114,787579466,620566999,350816796
23860982,5836,884178,761140,3195175,4815615,3097500,392491,745985,4797224,786774259,597781423,350864205
