L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
4860171,1620,314335,1186,483205,8789,884,46,90,0,185364954,495217962,50120771
5096047,118,163993,0,372443,0,188,0,0,0,189785246,506581357,50284635
5415815,133,154500,15,413746,46,122,0,0,0,189977260,506660841,50247724
6983015,410,478945,0,579626,390,189,47,266,0,189646824,482251993,50251365
7927385,605,799001,0,772929,63,223,0,56,0,190237726,445489729,50248571
8378974,919,838553,0,802690,0,377,0,0,0,190241711,447459246,50248114
8200538,787,897478,0,750234,13,311,2,15,0,189904970,445650417,50252278
8503123,814,880968,0,792421,0,272,2,0,0,190242263,447292515,50247991
8408738,868,836662,0,833588,0,294,0,0,0,189888736,440290529,50239784
8467260,623,867291,0,774097,3,181,0,5,0,188373204,435368061,50252657
8826100,699,1014718,0,789404,0,200,2,5,0,189352040,432112970,50248872
7994759,720,950244,768,797143,1765,144,2,261,44,184471920,405355072,50253592
8656012,798,1048228,0,809315,12,147,0,396,0,188283273,432841544,50277133
9034132,1385,1182438,0,849519,69,295,0,5,0,188871404,421807986,50251269
9208351,1484,1154230,4,783336,9,216,0,8,0,189801458,434804182,50253200
9617577,2126,1264907,0,711791,3,94,0,21,0,189939158,433060820,50253641
9832653,1290,1400336,0,699319,0,251,3,370,12,188807788,430116037,50249061
9747922,953,1348861,0,723966,15,270,3,6,0,188630082,430996161,50253124
9983668,901,1407491,0,718503,0,310,0,3,0,189928689,433694499,50255082
9828254,796,1423585,0,736644,31,210,0,37,0,188655063,428636365,50251393
9738673,775,1427218,0,714541,3,194,0,0,0,189678575,431444677,50256108
9904962,507,1431687,0,723044,3,207,0,3,0,189648022,432962874,50248062
10057102,609,1466291,0,755352,0,2617,6,9,0,188601048,431655775,50206619
9729590,557,1370990,24,710117,2156,543,6,2032,6,185953461,424618039,50254270
9822588,634,1385744,0,719184,22,216,0,97,0,187799998,429466836,50278871
9961624,749,1408676,0,689049,22,357,3,9,0,189055428,428289012,50250232
9947378,563,1369322,0,672992,5,280,9,21,0,189962172,434556101,50255032
9948837,542,1375521,0,740245,0,308,8,3,0,190260338,437989050,50252989
9952952,582,1304632,0,821559,0,363,5,0,0,190239939,435013707,50247331
9908462,739,1310415,0,784172,2,189,2,0,0,189949749,430998804,50251913
9905997,515,1296728,0,741032,0,167,2,2,0,190049406,435387042,50247548
10023714,594,1288012,0,717066,21,451,0,0,0,189643509,438224923,50248237
9888526,567,1306043,0,668130,0,258,2,5,0,189634399,440881226,50256345
10034102,586,1345896,0,714780,15,182,2,11,0,189299834,435192923,50249779
9821446,723,1301442,0,724339,6,373,6,5,0,189941139,435938848,50253845
9655711,871,1222701,83,707398,185,179,3,42,38,183012110,421495815,50250659
9969210,1444,1333410,0,729595,439,389,0,377,5,188553334,434213363,50283682
9853222,1307,1349715,0,720749,18,279,0,0,0,188848636,426005795,50259290
9807408,1897,1279773,0,751462,15,229,0,31,0,189636314,433320458,50249500
9942915,2098,1431618,0,718681,28,232,3,9,0,188869866,437659282,50248942
10014616,2128,1291679,0,651316,3,266,3,0,0,189655439,440413309,50253335
10002027,1259,1471390,0,708875,9,210,0,12,0,188463988,441114041,50248309
10053281,1596,1334279,0,607841,0,153,3,6,0,189639208,443589056,50248578
10016714,2588,1398135,0,619532,40,241,21,9,0,189594055,450766466,50252072
9876143,1036,1267094,0,579014,17,216,0,3,0,186149631,445232197,50250837
9567223,638,1286593,0,448044,44,194,0,9,0,178441888,426547994,50249534
9318113,1123,1223182,11,650575,283,228,0,179,0,174442816,413201044,50292156
9107864,2062,1259678,0,666004,1883,112,0,1102,47,171911308,409181359,50246253
9152417,2108,1402264,6,465398,187,126,0,411,0,171331512,402331460,50274315
9105396,3287,1329826,4,511971,118,154,0,183,0,171707126,404450250,50258400
10106133,8366,1409048,0,593339,148,198,2,134,0,188766775,446384168,50250593
10100373,5371,1559406,4,594552,142,181,0,88,3,187679811,442551590,50257681
10534369,10748,1614018,0,569956,34,123,0,66,0,189144651,444656763,50254364
10354965,6076,1531833,0,444649,6,117,8,33,0,183459440,432732027,50252372
9862196,12774,1529141,0,533750,25,131,2,38,0,177174853,419132266,50253541
9599235,8524,1510111,4,481438,87,144,0,104,11,174113196,413345011,50272722
8893851,15529,1373899,860,398148,16431,154,0,9791,581,164314942,385710380,50322492
7897639,10199,1623697,368,366389,4864,358,28,7019,725,161390688,345059339,50344905
7922778,14021,1619467,447,444883,5350,341,43,5482,694,162363417,327515601,50239326
8692808,7955,1593378,727,424254,4456,545,18,4635,615,166183267,352118721,50214277
9107658,19799,1841885,576,454341,5546,398,28,5590,643,165956862,373204532,50253032
9300679,10189,1674593,222,388732,2257,244,37,1902,244,172664782,397684384,50240594
9124827,21261,1859883,273,477436,3184,550,22,2957,339,170764020,394823182,50291599
9234082,15329,1569558,389,457509,2930,207,18,3113,132,170046578,404261432,50409087
9194163,23575,1740944,428,430406,4067,266,9,2708,182,165402250,398150951,50250726
8661278,17454,1431791,508,396138,1746,147,3,4626,876,157663298,369013373,50283332
8519920,23709,1576876,485,301417,7598,295,78,3450,172,163174286,350690342,50316936
8757052,20854,1491789,241,351079,2368,316,34,1653,138,164500076,356656742,50279318
8395051,21597,1632202,357,388782,2461,437,59,1372,244,160861767,373051572,50253764
8198957,16395,1739013,324,383167,2596,535,42,2059,238,162753752,350870965,50312501
9269730,19306,1741946,180,390124,3160,186,35,2184,154,161360317,377933964,50305757
3425009,9422,534139,6576,35912,1721,72,9,1016,1034,64099867,148531027,19334664
4263502,3229,770065,990,541295,9934,196,15,193,6,168625665,455214347,50072830
4530765,302,283232,38,343354,166,191,18,132,6,168149952,446202412,50292883
4486763,178,371317,99,383309,633,163,9,1469,348,161074024,427619654,50237692
5449217,342,425810,379,404913,1446,107,12,863,185,158772306,402270981,50396879
6594434,655,750062,365,638887,3995,410,94,2774,100,169939480,399536223,50267754
6707974,522,902590,122,674218,3685,563,72,3965,472,165672958,386137009,50269673
7395386,588,895987,50,666740,1569,497,66,1266,25,169548172,400195400,50313589
7453337,586,893580,41,720856,1456,495,63,1400,37,170892129,401792542,50262303
7348048,535,1013479,20,651683,1464,452,57,1480,31,169150633,396347158,50272428
7179397,652,1010917,54,788172,1455,279,35,2581,79,168724427,390813021,50355547
7742040,351,927563,445,852483,480,156,0,338,165,181597458,411179785,50240020
8219430,322,851412,995,808397,924,123,2,151,32,183031921,421729568,50301226
8539498,379,1023120,8,748953,376,301,0,492,11,182193521,422912829,50267578
8274589,401,1022756,8,774855,15,116,3,101,5,174635486,402826638,50264770
8255425,445,1094649,20,743031,866,464,75,1034,46,172774618,389682965,50260606
7781649,612,1093624,1091,707633,2352,424,50,1146,112,168977626,371511471,50259713
8284464,388,1092616,16,761352,213,169,15,163,20,173129885,393623022,50277302
8747391,321,1122840,0,840096,34,172,3,28,0,173635361,406798316,50255024
8870885,379,1229593,0,774131,12,270,3,3,0,172305579,389962153,50251628
9307657,344,1292477,0,664405,9,197,0,34,0,177422778,413765848,50251594
9807706,455,1339269,0,706522,0,200,3,0,0,189649663,438322716,50254490
9492421,358,1376337,0,714128,0,138,0,0,0,179626988,416698448,50240062
9172273,384,1329220,0,609873,3,131,0,3,0,175330251,401783338,50250564
8082441,932,1567141,4538,579305,9739,91,3,8369,65,171695320,360377105,50226019
7122336,580,1767377,6705,584227,35771,1213,110,28053,4610,166436199,303902275,50329372
7838828,523,1809394,1280,529125,15224,757,88,13785,3686,172244654,308248982,50364555
8328291,334,1124110,1955,662617,16108,449,15,15892,2730,161957929,366442287,50289593
7978365,232,1183650,5790,656274,20644,214,0,21351,4055,166112936,357879618,50268747
7797161,423,1418097,3985,582976,20636,936,71,30864,5111,164135348,340801198,50278510
7130942,690,1310964,3558,593574,16381,450,52,19312,3668,159688295,303373553,50308615
8278479,500,1356221,2461,637511,18778,395,16,18667,3060,170245807,348705853,50333268
7738633,756,1376167,3263,596707,17303,361,24,14531,1951,165445621,330894024,50288131
7384989,707,1248247,2860,654426,12415,341,49,10555,2488,164858331,341769857,50358218
9360402,391,1280819,8,811495,72,141,5,1347,63,178508668,413429142,50318682
9418846,358,1253339,12,726904,2579,148,12,4800,172,182192471,418024878,50343853
9291847,290,1192562,4,661797,87,157,3,149,11,179597371,414311569,50270889
9119689,304,1162490,14,633497,150,285,3,125,0,175110975,410161713,50261507
9008428,321,1201854,88,594839,2519,160,0,2873,188,165341460,388875237,50252274
8798731,275,1124774,695,611612,10475,116,3,3028,163,165713411,382251817,50303528
8666144,311,1111500,133,639361,1548,364,3,1860,219,160995529,370768460,50277706
8734825,277,1144324,189,621947,1400,232,6,1212,50,162273793,377729580,50244518
8807886,344,1139039,128,573343,2278,270,9,1715,138,161707753,379093590,50274041
8391550,287,1134528,95,586259,1285,157,0,1806,128,162060041,368574073,50273260
