L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-store-misses,L2-load-misses,cycles,instructions,ns
1211729,1484,146270,189504,5812150,65317,6370,1156328,149623,40549,894949276,699227544,350203424
3605922,1139,295724,490789,15257732,267392,83664,23071,422242,237614,968565412,1261129100,350582119
3788498,428,157863,261954,8815458,268297,113682,466224,172009,301010,974492965,2077237350,350506791
3527429,461,45014,8909,3500293,354542,268193,200893,5120,249105,969715483,2590020804,350517514
7982970,1047,118883,20211,4961931,1679200,1489563,44076,31452,1742611,839532285,1178376652,350527247
9601692,1143,164659,11851,14537756,571212,646807,17238,14175,599624,963612685,1550797084,350543503
8772111,1202,262328,19150,11837927,724251,630315,19895,22088,662721,972526133,1688315774,350537741
9792670,472,163630,15745,11733929,810366,803903,20221,14694,792517,974208469,1651658575,350528751
9671871,1829,265482,38192,10808275,1120695,966966,23977,39617,1119524,953801372,1482358505,350508729
9852796,2709,214249,43524,10198978,1209680,1000935,24671,31815,1190962,949477462,1510860060,350492881
10042919,1313,173013,25405,10704267,987004,978685,23397,28527,994122,968588192,1610335263,350523734
10031635,1345,228343,31158,10435770,1174535,1151861,24914,36794,1163218,962868590,1506563334,350550772
8703181,2736,283546,65254,9264451,1503429,1072195,23542,62813,1369892,914415103,1282263723,350555325
7266845,2956,315091,88973,6735709,1546183,831852,22980,92921,1496872,809705265,983316308,350941724
10245536,2305,207506,47615,9911011,1376701,1287396,29883,41477,1351775,954466240,1430290743,351108392
10191254,1666,164550,38189,10741218,1353753,1361726,27534,31501,1366230,967575361,1421377463,350597944
10533420,699,165190,40968,10766845,1329030,1356077,31554,42549,1268103,974326935,1508238649,350516471
10339517,675,140336,34142,10429252,1419243,1294308,31259,43563,1436236,972835081,1440380633,350545808
10034411,1123,136541,29932,11563774,1466905,1381717,25213,34306,1543984,969309460,1353168600,350531247
10946640,658,123209,24079,13134753,1392899,1302688,24361,24593,1370284,974356035,1308685638,350518015
10970928,1045,161086,26901,12818097,1514893,1334813,24406,27976,1327447,969413932,1267044639,350565753
10931329,833,110871,24159,13385570,1348437,1166874,25185,33228,1257968,973560067,1355206310,350710763
11037761,1516,146210,42745,12613991,1744551,1420171,25569,41714,1802979,959247027,1163400211,350705235
10423586,2020,266187,45144,11405084,2217838,1611922,26927,57365,1968663,947136161,1182435396,350715008
8308224,3129,366899,123396,7739245,1450849,858843,28520,119121,1693133,893023360,1027998840,350684308
7919739,1563,306814,70572,6725261,954070,111352,8274,67093,943907,803571797,911688856,351294464
9876458,1897,257396,100486,9924143,585995,196376,12722,84942,526638,942647016,1759348601,350502203
6020971,1335,355226,132648,4022787,1032993,174792,10169,146763,1034655,782274943,905394942,350477732
9097064,1637,223706,117856,5897193,841310,154964,8423,111510,805848,889544627,1504566555,350735536
11161612,1290,118470,68784,7111376,424233,162671,9766,55002,476274,960101099,2060793193,350575493
7581410,1788,260051,115158,4152756,1120395,177820,9698,115555,1142796,800247509,979103372,350587497
7617676,1470,254276,136995,5264132,1195291,247441,11196,140143,1215848,833093097,1052832939,350523936
11056728,1813,117074,61533,10013019,749519,254341,16132,49892,610340,957083296,1647706327,350718588
13464268,1837,250525,132081,5624539,1070637,373399,15609,115750,1160942,950967527,1497574716,350619732
15139905,2181,173276,113595,6449945,1205622,335491,16577,121269,1216550,942324147,1641249192,350672263
9346758,1984,262111,126276,6415737,1174314,248056,12066,116410,1194186,867235784,1182131591,350730970
12975618,1992,240521,90244,5119390,1137505,267317,16332,84392,1262065,850764854,1218550905,351411069
12439260,2070,118900,75051,8849527,1073872,411780,19328,71698,946250,953444465,1679171201,350633364
12149940,1922,156112,78343,8250153,826788,245587,15290,88374,957533,948695808,1655074091,350594156
15888490,2151,292555,136740,3613542,1103110,230866,14022,130756,1114282,940125642,1738359295,350580058
7887185,1604,309856,129109,4280064,1135990,278379,12598,137416,1162308,811010580,1066946332,350650056
6380566,1003,375558,103092,3154205,1159490,225960,10514,99900,1134560,763110363,864083609,350632926
9762794,1328,267758,72283,6176673,1317409,446314,16408,85349,1286517,851753328,1108348395,351261398
11225058,1604,301640,65879,4564806,1170284,283063,11820,63665,1269162,787914923,964621641,351304538
15409884,1887,161641,71710,8502839,1104722,520366,21806,80572,1115832,957417478,1520782781,350934536
11547357,1587,152798,49820,10031892,1335337,933045,26018,43165,1458710,959640291,1436030994,350516454
10950586,1853,201342,54203,11702331,1905433,1548898,26778,41707,1974061,941499450,1124821350,350511116
11411384,1564,138553,56416,11597304,2099892,1611259,27785,61362,2176066,941685868,1010177350,350682348
10934963,1680,214542,57863,10753916,2270545,1719070,29916,52760,1957090,942057119,1106178658,350722496
11335418,2973,175721,61240,11064643,2484767,1737748,28023,63891,2549671,941764690,913099016,350699049
11207196,1931,160514,55812,11535947,2166415,1663762,27019,33441,1885238,942382636,1120728609,350703811
11207820,2433,229891,54703,11089667,2433906,1736258,27395,67859,2298028,941693507,986733377,350712478
11538573,1550,141641,53473,11725051,2185141,1673852,27620,50899,2251530,941978075,997400216,350685373
11471917,2891,154016,64483,11508108,2504113,1815252,27530,63789,2437872,941719112,920498365,350650443
8661414,2529,347060,75922,8682281,2256658,1333062,25889,76532,2216766,845502995,723982506,350681017
8019477,1491,229630,82633,7719816,1938314,1164789,21372,65961,2005781,771105556,698602519,351047168
11258695,2658,191202,54342,10946545,2424368,1751612,26984,57026,2498012,929562982,949713976,350561864
10944176,1941,231225,58351,11850601,2065109,1637104,28905,46099,2052692,935289061,975322809,350775864
11800541,1443,126706,52885,11375101,2066184,1610649,28139,55663,2349008,943429655,960480964,350709785
11844869,967,95204,64380,11442551,2428759,1845384,27647,59823,2293469,941905845,938365415,350704461
11537904,756,107060,50531,11596114,2399377,1914892,28802,52873,2104416,941766452,956518825,350702528
11695601,786,90086,86509,11465420,2403129,1929654,28005,73773,2441916,943745264,1007370390,350698587
11670876,1023,66923,95517,11440609,2208338,1792146,24080,90370,2394946,943669777,983078759,350684177
5414270,2532,406417,149939,4649785,1657894,745956,24290,153146,1781020,666621504,453335507,350708478
6400394,2129,391743,99856,5452286,1641594,773194,25272,102902,1876795,718119491,561115471,351032153
6881457,2195,175867,95151,9553287,744614,342172,11750,89699,765066,894145880,1582564093,351574160
7946494,1609,218805,116260,9691245,1053301,502202,11964,120417,967292,898703407,1216628659,351078568
6339239,1143,333515,126190,4883503,1223666,438443,12518,120749,1275528,746583943,695851918,351157666
10073649,1349,116624,86454,10566710,1221569,811103,17486,89265,1020009,963682361,1655938637,350520778
10031136,1221,55243,65524,12766081,612847,349873,11812,57526,900471,964778540,1635965574,350536869
13465290,1602,99885,77306,9772726,1455775,965125,17196,69503,1279618,961089567,1532560578,350527274
11991544,1610,163192,116350,10938674,2315527,1818999,40185,123708,2414853,941387289,1025824610,350690117
11009971,3378,134063,112278,11420182,2249874,1665332,25770,108553,2259616,942373157,1045977886,350705584
11792913,1408,84640,102218,10959943,2573266,1835891,27929,99167,2432938,941944573,1029239413,350720073
10905756,565,106339,78456,12912746,1838432,1414364,26605,107566,1975939,948683167,1114909032,350729369
12981545,508,51369,120282,11387394,2393037,1978230,24942,111132,2354070,948475639,1037648738,350688377
11338719,869,96955,1466330,12431307,1936317,1667837,27136,146835,1863612,946808521,1031125609,350704228
3641385,845,287374,495846,15129382,263684,71856,22631,429334,229040,972711569,1199175571,350701930
2029238,1117,37261,120830,2915267,141139,54995,1067164,71231,115470,970790527,2127491582,350735169
632203,216,59641,100802,10239602,106683,7458,682568,65257,28349,974073114,907218315,350702134
3468926,599,45965,195575,4602925,424030,112143,454137,21478,205460,972321244,2569805520,350721225
8354211,709,110658,31158,9738303,1607365,1066178,28675,29287,1578808,957672361,1247711099,350732638
9417510,1098,110286,33897,8334979,2386829,1801262,37310,33895,2385499,926428460,897441413,351098333
9727862,1543,112900,35551,7133480,2827284,2194054,43379,35833,2759630,867370216,761302283,350705883
9951538,667,74860,45866,6666904,2974958,2448065,43262,63612,2973619,830915229,693103179,350768939
9897634,2573,57453,136386,6502876,3046379,2510392,40017,129541,3032437,809607028,669286648,350839461
10039459,2522,45421,130717,6484116,3047006,2531896,39778,137635,3024765,813611723,672078078,350781661
10347347,2096,40420,171967,6483767,3056748,2525404,39420,134121,3052135,810534347,666231307,350788498
10084283,2150,43994,143014,6527457,3057522,2544100,37252,146022,3154292,812346004,661459123,350809886
10063085,1165,34739,143540,6467292,3035291,2522979,38231,146872,3016587,806303856,663827934,350781424
10067764,1833,31653,145642,6502105,3057737,2529604,37424,142372,3044639,808610181,666157536,350766492
10205040,2043,37110,144717,6557673,3048271,2554940,37481,197196,3186206,814325422,662335239,350762241
9970777,1416,43345,146657,6466605,3055978,2513277,37461,141463,3060534,802922408,663712342,350579685
10048562,978,120709,141443,6540542,3092008,2542381,38900,145782,3067511,814683785,655322854,350616463
10131128,685,35496,144266,6509615,3051874,2502453,40413,191035,3135778,817354338,656964716,350593248
9946664,744,34330,145887,6476086,3028088,2525834,37675,143763,3019412,802477981,660983062,350615598
9996933,1015,34626,145352,6470207,3063904,2527956,37579,151151,3044829,805017356,663198190,350781715
10101071,475,34381,181848,6385995,3071032,2513337,37329,145938,3103765,818368843,664248012,350825888
9917050,687,33645,145734,6494029,3039885,2545020,35379,143764,3066727,807185843,661045426,350765695
10022850,1355,37851,137904,7136697,2947390,2442275,30250,140846,2951671,890601457,851937532,350749201
10534671,697,158312,155256,7246075,2951378,2437029,33614,145524,2956520,901423253,838716296,350817675
